Long,Lat,Vs30
110.0249917,18.51040944,277.1994303
110.069063,18.50770455,299.5779443
108.4826577,18.63234977,408.0179582
108.5268482,18.63046908,416.9605112
108.5710365,18.62856471,425.9030642
108.6152225,18.62663668,434.8456173
108.6594063,18.62468498,415.6982884
108.7035877,18.62270962,395.9262813
108.7477668,18.6207106,413.4474602
108.7919435,18.61868793,465.9918702
108.8361179,18.61664161,494.7457907
108.8802898,18.61457163,518.0554065
108.9244592,18.61247801,554.1106051
108.9686262,18.61036074,578.3506975
109.0127906,18.60821984,579.8421569
109.0569525,18.6060553,552.6352146
109.1011118,18.60386712,551.0824578
109.1452686,18.60165531,525.0890011
109.1894227,18.59941988,572.3419722
109.2335742,18.59716082,603.6908296
109.277723,18.59487814,623.8025802
109.3218691,18.59257185,657.384024
109.3660124,18.59024194,680.7689663
109.410153,18.58788841,668.756077
109.4542908,18.58551129,633.0003794
109.4984258,18.58311055,577.4022584
109.542558,18.58068622,497.0034579
109.5866873,18.57823829,447.0771423
109.6308137,18.57576677,387.7070576
109.6749371,18.57327166,387.2244561
109.7190576,18.57075297,388.3141671
109.7631752,18.56821069,362.4028561
109.8072897,18.56564483,333.2584779
109.8514012,18.5630554,314.9687934
109.8955096,18.5604424,305.596205
109.9396149,18.55780583,293.2390468
109.9837172,18.5551457,267.4237134
110.0278162,18.55246201,269.8219955
110.0719121,18.54975477,302.5830315
110.1160048,18.54702397,304.0071277
108.3519599,18.67999005,401.0695397
108.3961818,18.6781788,411.3071178
108.4404016,18.67634385,420.2496709
108.4846191,18.6744852,429.1922239
108.5288345,18.67260286,424.9409923
108.5730476,18.67069683,405.1689853
108.6172585,18.66876711,385.3969782
108.661467,18.66681371,371.7660644
108.7056733,18.66483662,389.2090001
108.7498772,18.66283586,461.2882727
108.7940787,18.66081141,511.240492
108.8382778,18.6587633,535.8949408
108.8824745,18.65669151,555.8525222
108.9266687,18.65459606,566.7088766
108.9708604,18.65247695,581.6209646
109.0150497,18.65033417,589.0090527
109.0592363,18.64816774,587.6179398
109.1034205,18.64597765,584.8846361
109.147602,18.64376391,558.9038333
109.1917808,18.64152652,532.9103766
109.2359571,18.63926548,554.1712155
109.2801306,18.63698081,576.2286082
109.3243015,18.6346725,611.1460087
109.3684696,18.63234055,657.5807988
109.4126349,18.62998497,665.3954405
109.4567975,18.62760577,608.178974
109.5009572,18.62520294,548.627525
109.5451141,18.62277649,503.8702953
109.5892681,18.62032642,494.949961
109.6334192,18.61785274,431.2017539
109.6775673,18.61535545,360.0427054
109.7217125,18.61283455,361.3048559
109.7658548,18.61029005,363.8775316
109.809994,18.60772195,335.5077909
109.8541302,18.60513026,329.2996211
109.8982633,18.60251497,351.0815781
109.9423933,18.5998761,351.1567478
109.9865202,18.59721364,332.003234
110.0306439,18.59452761,317.7800872
110.0747645,18.591818,333.6461996
110.1188818,18.58908482,362.8220697
110.1629959,18.58632807,308.436311
108.2653491,18.72569787,415.3301748
108.3096001,18.72393248,414.5962775
108.353849,18.72214337,423.5388306
108.3980958,18.72033053,432.4813836
108.4423404,18.71849397,414.4116892
108.4865828,18.7166337,394.6396821
108.530823,18.71474971,374.8676751
108.575061,18.71284202,374.6126854
108.6192967,18.71091061,379.8545401
108.6635301,18.7089555,385.0963948
108.7077612,18.70697668,407.9804966
108.7519899,18.70497417,528.6341094
108.7962162,18.70294796,591.2839847
108.8404402,18.70089805,614.4860478
108.8846617,18.69882446,583.1770447
108.9288807,18.69672717,601.1480102
108.9730973,18.6946062,634.202543
109.0173113,18.69246155,635.5732368
109.0615228,18.69029323,620.7835109
109.1057317,18.68810122,616.7700676
109.149938,18.68588555,590.8786533
109.1941416,18.6836462,521.3953748
109.2383427,18.68138319,525.8443823
109.282541,18.67909652,555.4879904
109.3267366,18.67678619,594.658565
109.3709295,18.67445221,637.8270821
