lat,lon,storage_type,storage_potential,final_risk_score,pga_level,fault_lambda,amplification_method,pga_score,fault_score,site_vulnerability,analysis_type,risk_category,w1,w2,w3
48.87438008,126.2078444,DSA,15.97159958,3.269490413926852,10%,200.0,boore,0.8070177032718734,2.05477020589058,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.86512088,126.2740297,DSA,15.97159958,3.2848823290354683,10%,200.0,boore,0.8454341536436332,2.0625041658847567,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.96590118,125.1994444,DSA,15.97159958,4.397140238601352,10%,200.0,boore,0.8657000355285605,4.274860455885568,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.95710058,125.2658676,DSA,15.97159958,4.668127019072999,10%,200.0,boore,0.8657000355285605,4.816834016828863,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.94826965,125.3322724,DSA,15.97159958,4.513735270606356,10%,200.0,boore,0.8452161211952205,4.520340868495579,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.93940839,125.3986588,DSA,15.97159958,4.330558139755836,10%,200.0,boore,0.8219559668154139,4.167942699422424,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.93051681,125.4650268,DSA,15.97159958,4.07236450622715,10%,200.0,boore,0.8026855511678993,3.8997000639747545,9.408544044447014,weight_sensitivity,Moderate,0.3,0.5,0.2
48.92159492,125.5313762,DSA,15.97159958,4.081445701264184,10%,200.0,boore,0.7823993223910886,3.693451809093715,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.91264274,125.5977071,DSA,15.97159958,3.9848417332081962,10%,200.0,boore,0.7719275564430981,3.5265308245288765,9.949990270054142,weight_sensitivity,Moderate,0.3,0.5,0.2
48.90366026,125.6640193,DSA,15.97159958,3.801854723472804,10%,200.0,boore,0.7504450402418428,3.38524645832898,9.420489911178803,weight_sensitivity,Moderate,0.3,0.5,0.2
48.8946475,125.7303129,DSA,15.97159958,4.398833159503812,10%,200.0,boore,0.749466088398144,4.883884792041988,8.660254684816872,weight_sensitivity,Moderate,0.3,0.5,0.2
48.88560446,125.7965877,DSA,15.97159958,4.680963300497934,10%,200.0,boore,0.7456469295361225,5.065867259473854,9.621677959500856,weight_sensitivity,Moderate,0.3,0.5,0.2
48.87653117,125.8628437,DSA,15.97159958,3.250076904174221,10%,200.0,boore,0.744072342703802,2.05371040272616,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.86742762,125.9290808,DSA,15.97159958,3.2594443410166596,10%,200.0,boore,0.7623689631456867,2.0614673041459075,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.85829382,125.9952991,DSA,15.97159958,3.261690452054665,10%,200.0,boore,0.7568817051170693,2.0692518810390883,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.8491298,126.0614984,DSA,15.97159958,3.276805150474541,10%,200.0,boore,0.7942569783857789,2.0770561139176147,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.83993554,126.1276787,DSA,15.97159958,3.283549895043233,10%,200.0,boore,0.8036913997288887,2.0848849502491325,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
